leftHipAngle,leftKneeAngle,rightHipAngle,leftElbowAngle,rightKneeAngle,rightElbowAngle,leftShoulderAngle,rightShoulderAngle,label
168.52135343551734,160.77739790773677,158.86156734671442,157.17993898430757,179.55398413878336,156.10053171844933,14.465700394529575,54.23050213175529,Lateral Raise
165.94121782180184,163.61526012098705,164.31454422554836,158.674637880325,171.32081195150363,173.26719972141117,14.525226546368078,41.26399944917402,Lateral Raise
164.06502500125998,179.88360768694312,169.77816250291136,175.2649210654742,176.1252924877206,161.80386630042798,26.20149061162676,23.717280549752793,Lateral Raise
164.90527836257365,175.34253083310426,171.81913995442116,178.1331444684471,177.2828975176578,175.91412135128604,33.48147791179932,32.3592829215604,Lateral Raise
168.10625677905156,177.7883337501441,169.80863580813173,175.03332520733406,177.085783348962,179.46746609506738,22.010511005665272,26.994034186258684,Lateral Raise
167.3148625071269,175.77091386634083,168.2897754188658,176.23474089973223,179.11925312168825,179.34150466819133,25.942107672663248,26.456756979164247,Lateral Raise
163.23934279161116,175.79902522930743,169.7967837711869,176.68241535362867,169.11136262215294,167.84628855781267,33.858190818485326,25.005287288432775,Lateral Raise
165.29047605239066,176.23134711784456,161.06226139945858,176.53710179246465,177.34930388008726,167.786684825851,23.157605549250487,26.527998042697547,Lateral Raise
163.09671225949575,178.68051392415785,165.51793897951998,168.81787810321543,177.8209239497363,174.53500433607846,22.369197395522995,31.07244952550102,Lateral Raise
159.13494012047906,179.17181948794018,161.42297704627063,170.2095810160984,167.13702078306005,169.2123349539298,32.19885923500367,23.077575228108294,Lateral Raise
162.7813579328682,173.9466977628136,159.0376469881046,147.15236970908296,167.89582458560173,119.5099228357796,26.755233777806016,39.29888947241737,Lateral Raise
163.7268907653796,175.09852123077923,162.4729250828954,77.04763885144365,175.29953055541768,54.36932927931626,27.05058845632084,31.43055327153936,Lateral Raise
160.85952875663747,177.97018774278158,162.6395252178386,73.62617159683265,174.38233493819433,63.35342845116361,33.482992332673504,29.222178770875924,Lateral Raise
159.35849747921202,178.9961700346804,162.73657502061295,69.87949236175211,171.78675025475863,57.21187381423874,44.654739793745264,47.05537062831732,Lateral Raise
159.67202526787966,178.52378879950268,164.04640305988906,159.82215853370798,172.41575650265395,162.04892232571194,86.02870735165556,85.99394012728386,Lateral Raise
154.14117983897316,178.0550528076836,165.4267435922201,145.46404861291,169.86468416270228,156.51174993489724,91.47808539224148,94.64153477124884,Lateral Raise
157.32150810992184,176.15668235124798,164.8696147695884,149.2397966530753,175.60928108792558,158.3121650410785,90.49623500649854,91.68415817775924,Lateral Raise
155.6191955601092,174.87630598993508,164.53012188555235,126.00600972648792,170.7524076625925,152.99361655388026,66.51772898874036,71.50973277194922,Lateral Raise
155.4112029390084,174.7687558818776,160.40349534713584,23.739131938111075,171.80632315320486,18.929990571652706,33.4225572096069,45.39266369791616,Lateral Raise
155.15845650493955,178.95757138028316,159.03511276641098,90.80351337806644,170.85980533040333,79.59318497939877,17.04460309507476,27.1549096046925,Lateral Raise
156.26461041429712,178.3653374182361,155.34630288934565,85.55309780684458,168.00407874344606,82.87643935382184,16.81547727064911,24.008131355169677,Lateral Raise
154.04859439144963,178.92299494099078,161.35693425782355,88.38560025416211,170.22625378709424,87.5316540174785,36.66805964062681,33.67308007839637,Lateral Raise
153.2610591082173,174.8756465237164,164.18955812893174,162.46007781520896,173.13670930717663,172.33701294882334,69.65508967566015,68.73542509914341,Lateral Raise
156.08613225817044,179.56555670473074,164.84128602261814,157.94389863699038,172.7581215678421,165.94161414303352,91.60855549487864,86.39494641980427,Lateral Raise
